idtag,epcRowId,prevsoc,soc,voltage,amper,energy,prevenergy,diffInSec,accDiff,avgDiffInSec,accAvg,offset,scaled
00:B0:52:FF:FF:02,337,48,49,644.5,125.1,71923.46,67194.22,211,3225,211,3090,183,3408
00:B0:52:FF:FF:02,337,49,50,644.7,125.3,77305.28,71923.46,241,3466,218,3308,183,3649
00:B0:52:FF:FF:02,337,50,51,644.7,123.9,82041.34,77305.28,211,3677,193,3501,183,3860
00:B0:52:FF:FF:02,337,51,52,645,124.4,86752.77,82041.34,211,3888,210,3711,183,4071
00:B0:52:FF:FF:02,337,52,53,645.2,125,92161.06,86752.77,241,4129,208,3919,183,4312
00:B0:52:FF:FF:02,337,53,54,645.4,123.9,96897.71,92161.06,211,4340,210,4129,183,4523
00:B0:52:FF:FF:02,337,54,55,645.8,124.8,102281.2,96897.71,241,4581,208,4337,183,4764
00:B0:52:FF:FF:02,337,55,56,646.2,125.1,107028.9,102281.2,211,4792,210,4547,183,4975
00:B0:52:FF:FF:02,337,56,57,646.6,123.9,111755.1,107028.9,211,5003,193,4740,183,5186
00:B0:52:FF:FF:02,337,57,58,647,123.9,117172.7,111755.1,241,5244,208,4948,183,5427
00:B0:52:FF:FF:02,337,58,59,647.7,124.4,121897.9,117172.7,211,5455,203,5151,183,5638
00:B0:52:FF:FF:02,337,59,60,648.3,124.7,126650.4,121897.9,211,5666,210,5361,183,5849
00:B0:52:FF:FF:02,337,60,61,648.7,125.5,132085.4,126650.4,242,5908,201,5562,183,6091
00:B0:52:FF:FF:02,337,61,62,649.3,124.5,136826.9,132085.4,211,6119,203,5765,183,6302
00:B0:52:FF:FF:02,337,62,63,649.5,124.7,142269.7,136826.9,241,6360,208,5973,183,6543
00:B0:52:FF:FF:02,337,63,64,649.9,124.5,147016.3,142269.7,211,6571,203,6176,183,6754
00:B0:52:FF:FF:02,337,64,65,649.9,124.5,151782.7,147016.3,211,6782,210,6386,183,6965
00:B0:52:FF:FF:02,337,65,66,650.2,125.6,157226.4,151782.7,241,7023,190,6576,183,7206
00:B0:52:FF:FF:02,337,66,67,650.2,125.1,161980.5,157226.4,211,7234,200,6776,183,7417
00:B0:52:FF:FF:02,337,67,68,650.2,124.3,167428.1,161980.5,241,7475,180,6956,183,7658
00:B0:52:FF:FF:02,337,68,69,650.4,123.8,172181.6,167428.1,211,7686,180,7136,183,7869
00:B0:52:FF:FF:02,337,69,70,650.4,124.8,176960.2,172181.6,211,7897,163,7299,183,8080
00:B0:52:FF:FF:02,337,70,71,650.6,124.7,182392.3,176960.2,241,8138,180,7479,183,8321
00:B0:52:FF:FF:02,337,71,72,650.8,124.3,186489.1,182392.3,181,8319,163,7642,183,8502
00:B0:52:FF:FF:02,337,72,73,650.8,124.4,191245.3,186489.1,211,8530,173,7815,183,8713
00:B0:52:FF:FF:02,337,73,74,651,124.4,194646.8,191245.3,151,8681,137,7952,183,8864
00:B0:52:FF:FF:02,337,74,75,651,124.6,198749.2,194646.8,181,8862,153,8105,183,9045
00:B0:52:FF:FF:02,337,75,76,651.2,124.7,202151.5,198749.2,151,9013,158,8263,183,9196
00:B0:52:FF:FF:02,337,76,77,651.2,124.3,206231.5,202151.5,181,9194,145,8408,183,9377
00:B0:52:FF:FF:02,337,77,78,651.4,124.7,210312.7,206231.5,181,9375,173,8581,183,9558
00:B0:52:FF:FF:02,337,78,79,651.6,124.5,213737.8,210312.7,151,9526,137,8718,183,9709
00:B0:52:FF:FF:02,337,79,80,651.6,125.4,217823.7,213737.8,181,9707,163,8881,183,9890
00:B0:52:FF:FF:02,337,80,81,651.6,124.4,221230.7,217823.7,150,9857,147,9028,183,10040
00:B0:52:FF:FF:02,337,81,82,652,124.6,225315,221230.7,181,10038,145,9173,183,10221
00:B0:52:FF:FF:02,337,82,83,652,124.7,228049,225315,121,10159,128,9301,183,10342
00:B0:52:FF:FF:02,337,83,84,652,125.5,231457.9,228049,151,10310,128,9429,183,10493
00:B0:52:FF:FF:02,337,84,85,652.2,124.6,234891.2,231457.9,151,10461,135,9564,183,10644
00:B0:52:FF:FF:02,337,85,86,652.4,125.3,237627.9,234891.2,120,10581,130,9694,183,10764
00:B0:52:FF:FF:02,337,86,87,652.4,124.5,240339.1,237627.9,120,10701,137,9831,183,10884
00:B0:52:FF:FF:02,337,87,88,652.9,125.1,243753.9,240339.1,151,10852,125,9956,183,11035
00:B0:52:FF:FF:02,337,88,89,653.1,124.6,247191.5,243753.9,151,11003,148,10104,183,11186
00:B0:52:FF:FF:02,337,89,90,653.5,124.6,250607.6,247191.5,151,11154,145,10249,183,11337
00:B0:52:FF:FF:02,337,90,91,653.7,124.9,254026.4,250607.6,151,11305,138,10387,183,11488
00:B0:52:FF:FF:02,337,91,92,654.1,125.3,257446.5,254026.4,150,11455,145,10532,183,11638
00:B0:52:FF:FF:02,337,92,93,654.5,124.6,260868.1,257446.5,151,11606,155,10687,183,11789
00:B0:52:FF:FF:02,337,93,94,654.9,124.7,264294.5,260868.1,151,11757,148,10835,183,11940
00:B0:52:FF:FF:02,535,36,37,642.7,115.5,5065.78,0,244,244,201,685,441,685
00:B0:52:FF:FF:02,535,37,38,643.7,115.5,10077.55,5065.78,241,485,200,885,441,926
00:B0:52:FF:FF:02,535,38,39,644.1,115.7,15085.84,10077.55,241,726,190,1075,441,1167
00:B0:52:FF:FF:02,535,39,40,644.3,116.1,20116.44,15085.84,241,967,200,1275,441,1408
00:B0:52:FF:FF:02,535,40,41,644.3,115.6,25133.29,20116.44,241,1208,200,1475,441,1649
00:B0:52:FF:FF:02,535,41,42,644.3,116.7,30158.08,25133.29,241,1449,200,1675,441,1890
00:B0:52:FF:FF:02,535,42,43,644.7,116,35200.54,30158.08,241,1690,190,1865,441,2131
00:B0:52:FF:FF:02,535,43,44,644.7,118.6,40224.12,35200.54,241,1931,203,2068,441,2372
00:B0:52:FF:FF:02,535,44,45,645,115.4,44419.5,40224.12,201,2132,208,2276,441,2573
00:B0:52:FF:FF:02,535,45,46,645,117,49465.43,44419.5,241,2373,193,2469,441,2814
00:B0:52:FF:FF:02,535,46,47,645,115.2,54496.04,49465.43,241,2614,210,2679,441,3055
00:B0:52:FF:FF:02,535,47,48,645.2,118.6,59554.81,54496.04,241,2855,200,2879,441,3296
00:B0:52:FF:FF:02,535,48,49,645.2,117.7,64583.29,59554.81,241,3096,211,3090,441,3537
00:B0:52:FF:FF:02,535,49,50,645.6,116.9,69643.95,64583.29,241,3337,218,3308,441,3778
00:B0:52:FF:FF:02,535,50,51,645.8,115.5,74677.98,69643.95,241,3578,193,3501,441,4019
00:B0:52:FF:FF:02,535,51,52,646,115.9,79710.1,74677.98,241,3819,210,3711,441,4260
00:B0:52:FF:FF:02,535,52,53,646.4,116.3,84772.9,79710.1,241,4060,208,3919,441,4501
00:B0:52:FF:FF:02,535,53,54,646.6,116,89814.31,84772.9,241,4301,210,4129,441,4742
00:B0:52:FF:FF:02,535,54,55,647,117.6,94024.46,89814.31,201,4502,208,4337,441,4943
00:B0:52:FF:FF:02,535,55,56,647.2,117.3,99926.92,94024.46,281,4783,210,4547,441,5224
00:B0:52:FF:FF:02,535,56,57,647.9,116.1,104142.4,99926.92,201,4984,193,4740,441,5425
00:B0:52:FF:FF:02,535,57,58,648.3,116.6,109224.2,104142.4,241,5225,208,4948,441,5666
00:B0:52:FF:FF:02,535,58,59,648.9,116.6,114279.6,109224.2,241,5466,203,5151,441,5907
00:B0:52:FF:FF:02,535,59,60,649.3,115.9,119358.6,114279.6,241,5707,210,5361,441,6148
00:B0:52:FF:FF:02,535,60,61,649.5,117.2,124422.8,119358.6,241,5948,201,5562,441,6389
